問題No,学年・学期,単元ID,単元名,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答番号,解説１,解説２,解説３,解説４,図１,図２,国試,,,,,,,,,,,,
152,1117,1900,スキンケア製品,石けんの洗浄作用において、汚れを包み込んで落とす働きを何といいますか？,酸化力,界面活,還元力,,2,不l正解。　汚れを落とすのは、石けんの持つ界面活性作用です。,正解です。　水と油の境界を壊す「界面活性」の働きによって、汚れを水の中に分散させます。,不l正解。　汚れを落とすのは、石けんの持つ界面活性作用です。,,,,,,,,,,,,,,,,
153,1117,1900,スキンケア製品,薬用石けんは化粧品、医薬部外品のどちらに分類されますか？,化粧品,医薬部外品,,,2,不l正解。　一般的な石けんは化粧品ですが、薬用石けんは医薬部外品です。,正解です。　殺菌剤などの有効成分を含むため、医薬部外品として扱われます。,,,,,,,,,,,,,,,,,
154,1118,1900,スキンケア製品,化粧水は、水にさまざまな成分を溶かした液体です。何の調節に使われますか？,粘度,透明度,温度,,1,正解です。　化粧水は成分の配合量を変えることで、肌の水分量や使用感を調節します。,不l正解。　化粧水は乳液やクリームの前に、肌の調子を整える役割をします。,不l正解。　化粧水は乳液やクリームの前に、肌の調子を整える役割をします。,,,,,,,,,,,,,,,,
155,1118,1900,スキンケア製品,皮膚の汚れや分泌過剰な皮脂を取り除く目的で行うケアはどれですか？,柔軟化,洗浄用,収れん化,,2,不l正解。　汚れをオフするのは、洗浄が目的のクレンジングや洗顔です。,正解です。　クレンジングや洗顔料を使い、皮膚を清潔に保つ「洗浄」が目的です。,不l正解。　汚れをオフするのは、洗浄が目的のクレンジングや洗顔です。,,,,,,,,,,,,,,,,
156,1118,1900,スキンケア製品,皮膚面を一時的に引き締め、キメを整える効果を何といいますか？,収れん化,柔軟化,保湿化,,1,正解です。　肌をキュッと引き締め、毛穴を目立たなくさせる効果を収れんといいます。,不l正解。　引き締め効果は、収れん効果と呼ばれます。,不l正解。　引き締め効果は、収れん効果と呼ばれます。,,,,,,,,,,,,,,,,
157,1118,1900,スキンケア製品,化粧水は、水に様々な原料を溶かしたものです。製品によって何が異なりますか？,粘度,透明度,温度,,1,正解です。　化粧水は水のようにサラサラしたものから、少し粘り気のあるものまで、配合成分によって粘度が異なります。,不l正解。　温度は環境で変わるもので、製品自体の性質ではありません。,不l正解。　温度は環境で変わるもので、製品自体の性質ではありません。,,,,,,,,,,,,,,,,
158,1118,1900,スキンケア製品,皮膚の汚れや皮脂などを拭き取って、清潔にするために使われる化粧水はどれですか？,柔軟化粧水,洗浄用化粧水,収れん化粧水,,2,不l正解。　柔軟化粧水は、肌を柔らかくし、水分を補うためのものです。,正解です。　洗浄用化粧水は、クレンジングの残りや皮脂汚れを拭き取るために使われます。,不l正解。　収れん化粧水は肌を引き締めるためのものです。,,,,,,,,,,,,,,,,
159,1118,1900,スキンケア製品,皮膚面を引き締め、汗や皮脂の分泌を抑える目的で使われる化粧水はどれですか？,収れん化粧水,柔軟化粧水,多層式化粧水,,1,正解です。　収れん化粧水は、キメを整え、化粧崩れを防ぐ効果があります。,不l正解。　柔軟化粧水は肌に水分を与え、柔らかくするためのものです。,不l正解。　多層式は成分が分離しているタイプを指します。,,,,,,,,,,,,,,,,
160,1118,1900,スキンケア製品,収れん化粧水の「パラフェノールスルホン酸亜鉛」などは、何の成分に分類されますか？,保湿剤,収れん剤,防腐剤,,2,不l正解。　保湿剤は肌に水分を留める成分です。,正解です。　これらは金属塩としてタンパク質に作用し、肌を引き締める収れん剤です。,不l正解。　防腐剤は製品が腐るのを防ぐ成分です。,,,,,,,,,,,,,,,,
161,1118,1900,スキンケア製品,収れん化粧水のpHは、通常どのようになっていますか？,弱アルカリ性,中性,弱酸性,,3,不l正解。　アルカリ性は肌をふやかしてしまいます。,不l正解。　中性はpH7ですが、引き締め効果には弱酸性が適しています。,正解です。　肌の健康な状態に近い「弱酸性（pH5?6程度）」に調整されています。,,,,,,,,,,,,,,,,
162,1118,1900,スキンケア製品,角質層に水分と保湿成分を補い、皮膚を柔らかく保つために使われる化粧水はどれですか？,洗浄用化粧水,柔軟化粧水,多層式化粧水,,2,不l正解。　洗浄用は汚れを拭き取るものです。,正解です。　柔軟化粧水は、最も一般的に使われる「保湿」目的の化粧水です。,不l正解。　多層式は水と油が分かれているタイプなどを指します。,,,,,,,,,,,,,,,,
163,1118,1900,スキンケア製品,柔軟化粧水は、従来は弱アルカリ性が主流でしたが、現在はどのようなものが一般的ですか？,強酸性,中性,弱酸性,,3,不l正解。　強酸性は肌への刺激が強すぎます。,不l正解。　中性はpH7ですが、現代の主流は弱酸性です。,正解です。　肌の健康な状態を保ち、刺激を少なくするために「弱酸性」が主流となっています。,,,,,,,,,,,,,,,,
164,1118,1900,スキンケア製品,水層と油層、あるいは粉末成分が分かれている化粧水を何といいますか？,多層式化粧水,柔軟化粧水,洗浄用化粧水,,1,正解です。　多層式（たそうしき）化粧水は、使用前に振って混ぜるタイプです。,不l正解。　柔軟化粧水は通常、成分が分離していません。,不l正解。　洗浄用化粧水も通常は成分が分離していません。,,,,,,,,,,,,,,,,
165,1118,1900,スキンケア製品,酸化亜鉛などを配合した「収れん・消炎」目的の化粧水はどれですか？,カラミンローション,漂白作用用,加温作用用,,1,正解です。　カラミンローションは日焼け後の炎症を抑えるのによく使われます。,不l正解。　漂白ではなく、炎症の熱を抑えるために使われます。,不l正解。　炎症の熱を抑えるために使われるため加温用ではありません。,,,,,,,,,,,,,,,,
166,1119,1900,スキンケア製品,人間にとって最も理想的な油性成分といわれるのはどれですか？,オリーブ油,皮脂（ひし）,ワセリン,,2,不l正解。　植物油も良いものですが、人間の肌本来の成分ではありません。,正解です。　自分の毛穴から分泌される「皮脂」が、肌にとって最も理想的な油分です。,不l正解。　ワセリンは保護力は高いですが、理想的な成分としては皮脂が正解です。,,,,,,,,,,,,,,,,
167,1119,1900,スキンケア製品,皮脂は皮膚の表面を覆い、何を防ぐ役割をしていますか？,硬さ,柔軟性と水分蒸発,色味,,2,不l正解。　皮脂が不足すると皮膚は硬くなりますが、主な役割は蒸発防止です。,正解です。　皮脂は皮脂膜となって皮膚の柔軟性を保ち、水分が逃げるのを防ぎます。,不l正解。　皮膚の色味は、主にメラニン色素によって決まります。,,,,,,,,,,,,,,,,
168,1119,1900,スキンケア製品,乳液やクリームのように、水と油を均一に混ぜることを何といいますか？,溶解,乳化,酸化,,2,不l正解。　溶解は、砂糖が水に溶けるような状態を指します。,正解です。　乳化は、本来混ざらない水と油を均一に混ぜ合わせることです。,不l正解。　酸化（さんか）は、物質が酸素と結びついて変質することです。,,,,,,,,,,,,,,,,
169,1119,1900,スキンケア製品,乳液（エマルション）のうち、水の中に油が分散しているのはどれですか？,O/W型（水中油型）,W/O型（油中水型）,混合型,,1,正解です。　O/W型は水分が多く、サラッとした使い心地が特徴です。,不l正解。　W/O型は「油の中に水」が分散しているタイプです。,不l正解。　基本の乳化型はO/WかW/Oのいずれかで分類されます。,,,,,,,,,,,,,,,,
170,1119,1900,スキンケア製品,油の中に水が分散しており、油分が多くしっとりするのはどれですか？,O/W型（水中油型）,W/O型（油中水型）,透明型,,2,不l正解。　O/W型は水分が多く、さっぱりした使い心地です。,正解です。　W/O型は油分の中に水があるため、耐水性が高くしっとりします。,不l正解。　乳化物は通常、光を反射して白く濁ります。,,,,,,,,,,,,,,,,
171,1119,1900,スキンケア製品,バニシングクリームの「バニッシュ（Vanish）」とはどういう意味ですか？,消える,光る,固まる,,1,正解です。　バニッシュ（Vanish）は「消える」という意味で、塗ると肌で見えなくなるのが特徴です。,不l正解。　バニシングクリームはステアリン酸を主成分とした、ベタつかないクリームです。,不l正解。　塗った後にサラッとして消えたように見えるためバニッシュと呼ばれます。,,,,,,,,,,,,,,,,
172,1119,1900,スキンケア製品,収れん化粧水は、皮膚を一時的に引き締めて何を防ぎますか？,汗や皮脂の過剰分泌,血液の循環,栄養分の吸収,,1,正解です。　収れん（しゅうれん）作用は、肌を整え化粧崩れを防ぐ効果があります。,不l正解。　収れん剤は皮膚の表面に作用し、不要なベタつきを抑えます。,不l正解。　肌に必要な栄養を止めるのではなく、不要なベタつきを防ぎます。,,,,,,,,,,,,,,,,
173,1119,1900,スキンケア製品,収れん化粧水のpH（ピーエッチ）は、通常どの範囲ですか？,弱アルカリ性,中性,弱酸性,,3,不l正解。　アルカリ性は肌をふやかしてしまいます。,不l正解。　中性はpH7ですが、肌を引き締めるには弱酸性が適しています。,正解です。　肌本来の性質（弱酸性）に合わせることで、刺激を少なく引き締めます。,,,,,,,,,,,,,,,,
174,1120,1900,スキンケア製品,トリートメントの本来の目的はどれですか？,一時的に手触りを良くする,積極的に髪の傷みを補修する,そのままの状態を維持する,,2,不l正解。　一時的に手触りを良くするだけならコンディショナーの役割です。,正解です。　トリートメントは髪の内部に浸透し、傷んだ状態を改善する目的があります。,不l正解。　劣化した状態を維持するのではなく、より良い状態へ改善します。,,,,,,,,,,,,,,,,
175,1120,1900,スキンケア製品,水層と油層、あるいは水層と粉末層が分かれているものはどれですか？,シェイク（振る）タイプ,エモリエントタイプ,バニシングタイプ,,1,正解です。　シェイク（振る）タイプは、使用前に振って2つの層を混ぜて使います。,不l正解。　エモリエントは「皮膚を柔らかくする」という意味のタイプです。,不l正解。　バニシングは主に「消えるクリーム」の名に使われます。,,,,,,,,,,,,,,,,
176,1120,1900,スキンケア製品,脂性肌用に使われるカラミンローションに含まれる粉末は何ですか？,酸化鉄,酸化チタン,酸化亜鉛,,3,不l正解。　酸化鉄は主に色味の調整に使われます。,不l正解。　酸化チタンは、主に紫外線を散乱させるために使われます。,正解です。　酸化亜鉛は、炎症を抑えたり肌を引き締めたりします。,,,,,,,,,,,,,,,,
177,1120,1900,スキンケア製品,トリートメント香粧品は、従来の製品により高度な何を付加した製品ですか？,機能性,価格帯,広告宣伝,,1,正解です。　　機能性とは、単なる洗浄だけでなく、補修や保護といった特定の働きを強めることです。,不l正解。　価格を上げることではなく、製品自体の働き（機能）を良くすることが目的です。,不l正解。　宣伝を増やすことではなく、製品そのものの質を高めたものです。正解は機能性です。,,,,,,,,,,,,,,,,
178,1121,1900,スキンケア製品,美白用香粧品は、肌の色に影響する何の生成を抑えますか？,ケラチン,メラニン,コラーゲン,,2,不l正解。　ケラチンは毛髪や爪の主成分となるタンパク質です。,正解です。　メラニンは肌を黒くする原因となる色素で、その生成を抑えるのが美白です。,不l正解。　コラーゲンは肌のハリ（弾力）を保つための成分です。,,,,,,,,,,,,,,,,
179,1121,1900,スキンケア製品,市販されている美白用香粧品の多くは、何に分類されますか？,化粧品,医薬部外品,一般用医薬品,,2,不l正解。　特定の効能（美白など）を表示する場合は、通常医薬部外品となります。,正解です。　特定の効果が認められているため、医薬部外品（薬用化粧品）となります。,不l正解。　医薬品は治療が目的のお薬です。,,,,,,,,,,,,,,,,
180,1121,1900,スキンケア製品,代表的な美白成分として、コケモモなどに含まれる成分は何ですか？,アルブチン,エタノール,パラベン,,1,正解です。アルブチンは植物のコケモモなどに含まれる代表的な美白成分です。,不l正解。　エタノールはお酒や消毒に使われる成分です。,不l正解。　パラベンは製品の腐敗を防ぐ「防腐剤」です。,,,,,,,,,,,,,,,,
181,1122,1900,スキンケア製品,ひげを剃りやすくするため、ひげをどうする目的がありますか？,収縮させる,膨潤させる,酸化させる,,2,不l正解。　収縮させると毛が硬くなり、剃りにくくなります。,正解です。水分を与えてひげを太く柔らかく（膨潤）させることで、剃りやすくなります。,不l正解。　酸化は酸素と結びついて変質することであり、逆効果です。,,,,,,,,,,,,,,,,
182,1122,1900,スキンケア製品,電気かみそり用のローションが、ひげを立たせて滑りを良くするのは？,柔らかくするため,立たせて滑りを良くするため,溶かして無くすため,,2,不l正解。　毛を寝かせてしまうと、電気かみそりの刃にかかりにくくなります。,正解です。収れん剤の働きで毛を立たせ、滑りを良くします。,不l正解。　毛を溶かすのは除毛剤の働きです。,,,,,,,,,,,,,,,,
183,1122,1900,スキンケア製品,中波長紫外線（UV-B）による日焼けを防ぐ指標はどれですか？,SPF,PA,pH,,1,正解です。SPF（エス・ピー・エフ）は、サンバーン（赤くなる日焼け）を防ぐ指標です。,不l正解。　PA（ピー・エー）は、UV-Aを防ぐ指標です。,不l正解。　pH（ピーエッチ）は液体の酸性・アルカリ性の度合いです。,,,,,,,,,,,,,,,,
184,1122,1900,スキンケア製品,長波長紫外線（UV-A）による日焼けを防ぐ指標はどれですか？,SPF,PA,pH,,2,不l正解。　SPFは肌の表面に炎症を起こすUV-Bを防ぐ指標です。,正解です。PA（ピー・エー）は、雲や窓ガラスを透過するUV-Aを防ぐ指標です。,不l正解。　紫外線の防御指標にpHは使われません。,,,,,,,,,,,,,,,,
185,1122,1900,スキンケア製品,美白成分の一つである「プラセンタエキス」は、動物の何の組織から得られますか？,皮膚,胎盤（たいばん）,筋肉,,2,不l正解。　プラセンタ（Placenta）はラテン語で特定の臓器を指します。,正解です。　　胎盤から抽出された成分で、栄養が豊富で美白や保湿の目的で使われます。,不l正解。　筋肉から抽出されるものではありません。正解は胎盤です。,,,,,,,,,,,,,,,,
186,1122,1900,スキンケア製品,収れん剤の代表例であるパラフェノールスルホン酸（ ）はどれですか？,亜鉛,ナトリウム,カリウム,,1,正解です。　　パラフェノールスルホン酸亜鉛は、肌をキュッと引き締める働きがある代表的な成分です。,不l正解。　この成分名には通常「亜鉛」が組み合わされて収れん剤として使われます。,不l正解。　正解は亜鉛です。,,,,,,,,,,,,,,,,
187,1123,2000,メイクアップ製品,「化粧すること」を指す正しい英語はどれですか？,make,makeup（メイクアップ）,face-making,,2,不正解です。　make（メイク）は単体では「作る」という動詞になり、化粧の意味では使いません。,正解です。　「メイクアップ（makeup）」が正しい名称です。日本語では略してメイクと言いますが、英語ではこちらが正解です。,不正解です。　face-makingは「顔を作ること」を直訳したような表現で、英語としては不自然です。,,,,,,,,,,,,,,,,
188,1123,2000,メイクアップ製品,肌の色や質感を整えて美しく見せるためのものを何といいますか？,ベースメイクアップ香粧品,ポイントメイクアップ香粧品,基礎化粧品,,1,正解です。　　ベースメイクは、ファンデーションなどのように肌の「土台（ベース）」を整えるものを指します。,不正解です。　ポイントメイクアップは、目や口など「特定の部分」を彩るものを指します。正解はベースメイクアップです。,不正解です。　基礎化粧品は、化粧水や乳液のように「肌そのものを健やかに保つ」ためのものです。,,,,,,,,,,,,,,,,
189,1123,2000,メイクアップ製品,唇や目もとなどを色彩的に強調し、魅力を引き出すものを何といいますか？,ベースメイクアップ香粧品,ポイントメイクアップ香粧品,特殊化粧品,,2,不正解です。　ベースメイクアップは肌の色や質感を均一に整えるための土台作りです。,正解です。　　口紅やマスカラのように、顔の特定の箇所（ポイント）を強調して装うものを指します。,不正解です。　特殊化粧品は、舞台用などの特別な用途のものを指します。正解はポイントメイクアップです。,,,,,,,,,,,,,,,,
190,1123,2000,メイクアップ製品,江戸時代のおしろいに含まれ、中毒の原因となった有害な物質は何ですか？,鉛・水銀,鉄・銅,亜鉛・マグネシウム,,1,正解です。　かつてのおしろいには、白さを出すために「鉛（なまり）」や「水銀」が含まれており、健康を害する大きな社会問題となりました。,不正解です。　鉄や銅は現代の化粧品の着色などに使われますが、当時の中毒原因ではありません。,不正解です。　亜鉛やマグネシウムは、現代の化粧品でも安全な原料として広く使われています。,,,,,,,,,,,,,,,,
191,1123,2000,メイクアップ製品,おしろいの性質で、肌への「のび」の良さを指す言葉は何ですか？,被覆力,展延性（てんえんせい）,付着力,,2,不正解です。　被覆力は、肌のシミなどをどれくらい「覆い隠すか」という力のことです。,正解です。　　展延性とは、化粧品が肌の上でスムーズに広がっていく「のび」の良さを表す専門用語です。,不正解です。　付着力は、粉が肌にどれくらい「しっかりつくか」という性質のことです。,,,,,,,,,,,,,,,,
192,1123,2000,メイクアップ製品,おしろいの「展延性」を高めるために主に用いられる原料は何ですか？,タルク,酸化チタン,マイカ,,1,正解です。　　タルクは滑石き）を粉末にしたもので、肌の上でスムーズに広がる「展延性（のび）」を良くします。,不正解です。　酸化チタンは主にシミなどを隠す「被覆力」を高めるために使われます。,不正解です。マイカは透明感や、程よい光沢を出すために使われることが多い原料です。正解はタルクです。,,,,,,,,,,,,,,,,
193,1123,2000,メイクアップ製品,おしろいで、しみやそばかすを隠し覆う力を何といいますか？,付着力,展延性,被覆力,,3,不正解です。　付着力は、粉が肌にどれくらいしっかりくっつくかという力のことです。,不正解です。　展延性は、肌の上で薄く均一に広がる「のび」の良さのことです。,正解です。　　被覆力とは、肌の欠点を隠して覆い隠す力のことです。,,,,,,,,,,,,,,,,
194,1123,2000,メイクアップ製品,おしろいの「被覆力」を高めるために使われる代表的な白色顔料は何ですか？,酸化チタン,タルク,カオリン,,1,正解です。　　酸化チタンは白い色が強く、肌を覆い隠す力が非常に優れています。,不正解です。　タルクは「のび（展延性）」を良くするための原料です。,不正解です。　カオリンは肌への密着を良くしたりする原料です。,,,,,,,,,,,,,,,,
195,1123,2000,メイクアップ製品,口紅の主な役割は、唇の色を美しく見せることと、もう一つは何ですか？,紫外線対策,乾燥から守る,摩擦から守る,,2,不正解です。　紫外線対策も大切ですが、主な役割は乾燥防止です。,正解です。　　唇には汗腺や皮脂腺がないため非常に乾燥しやすく、口紅は水分が逃げるのを防ぎます。,不正解です。　水分が逃げるのを防いで潤いを保つことが大きな役割です。,,,,,,,,,,,,,,,,
196,1123,2000,メイクアップ製品,口紅やアイシャドウにパールのような光沢（真珠光沢）を与える顔料は？,ベンガラ,酸化鉄,雲母チタン,,3,不正解です。　ベンガラは赤色をつけるための酸化鉄の一種です。,不正解です。酸化鉄は赤・黄・黒などの色をつける基本的な顔料です。,正解です。　　雲母（マイカ）を酸化チタンなどで薄く包んだ成分で、真珠のような輝きを出します。,,,,,,,,,,,,,,,,
197,1123,2000,メイクアップ製品,頬紅（ほおべに）に、「顔料」が使われる主な理由は何ですか？,色が鮮やかだから,安全性が高いから,安価だから,,2,不正解です。　色は染料の方が鮮やかですが、安全面で顔料が選ばれます。,正解です。　　顔料は肌に浸透せず、安全性が高いため頬紅に使われます。,不正解です。　価格の安さではなく、安全性のために顔料が使われます。,,,,,,,,,,,,,,,,
247,1123,2000,メイクアップ製品,まつ毛に塗布して、まつ毛を濃く、長く、美しく見せる化粧品はどれ？,アイライナー,マスカラ,シャドウ,,2,不正解です。　アイライナーは目の縁に線を引くためのものです。,正解です。　　マスカラを塗ることで、まつ毛にボリュームや長さを出します。,不正解です。　シャドウはまぶたに色や影を乗せるためのものです。,,,,,,,,,,,,,,,,
248,1123,2000,メイクアップ製品,目の周辺は特に敏感なため、化粧品に最も求められる安全性は何ですか？,細菌（微生物）汚染の防止,空気による酸化防止,日光による変色防止,,1,正解です。　　目は非常にデリケートなため、微生物の繁殖を防ぐ衛生管理が最も重要です。,不正解です。　衛生面では細菌汚染の防止が最優先されます。,不正解です。　衛生面では細菌汚染の防止が最も重要です。,,,,,,,,,,,,,,,,
198,1124,2000,メイクアップ製品,アイシャドウを眼瞼（まぶた）に塗る主な目的は何ですか？,陰影と立体感,透明感,洗浄力,,1,正解です。　　まぶたに暗い色（影）を乗せることで、目に深みや立体感を出します。,不正解です。　透明感を出す効果もありますが、主な目的は陰影による立体感です。,不正解です。　洗浄力はクレンジング（化粧落とし）の役割です。,,,,,,,,,,,,,,,,
199,1124,2000,メイクアップ製品,まつ毛の生え際沿いに細い線を描いて、目をはっきり見せる化粧品は？,マスカラ,アイライナー,アイブロウ,,2,不正解です。　マスカラは、まつ毛そのものを濃くしたり長くしたりするものです。,正解です。　　アイライナーは、目の縁に線を引くことで目をくっきり見せます。,不正解です。アイブロウは、眉毛を整えたり描いたりするためのものです。,,,,,,,,,,,,,,,,
200,2125,2100,シャンプー、スタイリング料,シャンプー剤において、汚れを落とす主成分（洗浄成分）は何ですか？,陰（アニオン）界面活性剤,陽（カチオン）界面活性剤,非イオン型,,1,正解です。　　陰（アニオン）界面活性剤は汚れを落とす力が強く、シャンプーの主成分です。,不正解です。陽（カチオン）界面活性剤は、主にリンスやトリートメントに使われます。,不正解です。　非イオン型は、泡立ちを安定させたり、洗浄力を調整したりするために使われます。,,,,,,,,,,,,,,,,
201,2125,2100,シャンプー、スタイリング料,アミノ酸系やベタイン系の洗浄剤が、低刺激なのはどのような液性だから？,強アルカリ性,弱酸性,強酸性,,2,不正解です。　強アルカリ性は皮膚を刺激し、タンパク質を傷めてしまいます。,正解です。　　弱酸性は肌の性質に近く、刺激が少ないのが特徴です。,不正解です。強酸性は髪のタンパク質を傷める原因になります。,,,,,,,,,,,,,,,,
202,2125,2100,シャンプー、スタイリング料,以前の石けんシャンプー後、髪のベタつきやキシみを防ぐために使われたのは？,油性リンス,酸性リンス,アルカリ性リンス,,2,不正解です。油性リンスは主にツヤ出しが目的です。,正解です。　　石けん自体がアルカリ性なので、酸性リンスで中和してキシみを防いでいました。,不正解です。アルカリ性を中和するためには、酸性リンスが必要です。,,,,,,,,,,,,,,,,
203,2125,2100,シャンプー、スタイリング料,現代のリンス剤の主成分で、髪への吸着力が強いのはどれですか？,陰（アニオン）界面活性剤,陽（カチオン）界面活性剤,非イオン型,,2,不正解です。　陰（アニオン）型は、主にシャンプーの洗浄成分として使われます。,正解です。　　陽（カチオン）イオン型は髪への吸着力が強いため、リンスの主成分になります。,不正解です。　非イオン型は髪への吸着力が弱いため、リンスの主成分には向きません。,,,,,,,,,,,,,,,,
204,2125,2100,シャンプー、スタイリング料,リンス剤に含まれる代表的な陽（カチオン）界面活性剤はどれですか？,第四級アンモニウム塩,ラウリル硫酸ナトリウム,ステアリン酸,,1,正解です。　　第四級アンモニウム塩は、代表的な陽イオン界面活性剤で、柔軟効果があります。,不正解です。　ラウリル硫酸ナトリウムは代表的な陰イオン界面活性剤です。,不正解です。　ステアリン酸は、クリームの硬さを整えるなどの目的で使われます。,,,,,,,,,,,,,,,,
205,2125,2100,シャンプー、スタイリング料,リンス剤がキューティクルを整えることで防ぐことができる現象は？,静電気（帯電）,髪の変色,毛根の消滅,,1,正解です。　　髪表面のキューティクルを整え、滑りを良くすることで静電気を防ぎます。,不正解です。　リンスは髪の色を変えるものではありません。,不正解です。　リンスは毛髪の表面に作用するもので、頭皮の中にある毛根を消すことはありません。,,,,,,,,,,,,,,,,
206,2126,2100,シャンプー、スタイリング料,フケやかゆみを防止するために、多くのトニック剤などに配合される成分は？,メントール,ジンクピリチオン,エタノール,,2,不正解です。メントールはスッとする清涼感を与える成分です。,正解です。　　ジンクピリチオンは、フケの原因となる菌の増殖を抑える働きがあります。,不正解です。　エタノールは清涼感や、他の成分を溶かす「溶剤」として使われます。,,,,,,,,,,,,,,,,
207,2126,2100,シャンプー、スタイリング料,ヘア製品に「清涼感」を与える目的で使われる成分は？,ジンクピリチオン,メントール,パラベン,,2,不正解です。ジンクピリチオンはフケ防止成分です。,正解です。　　メントールは肌に冷たい刺激（清涼感）を与える成分で、トニックなどに使われます。,不正解です。パラベンは製品の腐敗を防ぐ「防腐剤」です。,,,,,,,,,,,,,,,,
208,2126,2100,シャンプー、スタイリング料,ヘアリンスが表面に吸着することで、髪をどのように保護しますか？,表面を厚くする,損傷した層を覆う,色を定着させる,,2,不正解です。表面を物理的に厚くするものではありません。,正解です。　　リンスは髪の表面を覆って滑らかにし、摩擦などによるダメージから保護します。,不正解です。色を定着させるのはヘアマニキュアなどの役割です。,,,,,,,,,,,,,,,,
209,2126,2100,シャンプー、スタイリング料,スタイリング剤に配合され、髪を固めたり形を維持したりする成分は？,界面活性剤,高分子化合物,防腐剤,,2,不正解です。界面活性剤は主に混ぜたり汚れを落としたりする成分です。,正解です。　　高分子化合物（ポリマー）が髪の表面で皮膜を作ることで、形をキープします。,不正解です。防腐剤は製品に細菌やカビが生えるのを防ぐためのものです。,,,,,,,,,,,,,,,,
210,2127,2100,パーマ剤,パーマの第1剤（1液）の主成分で、髪の結合を切断する反応を何といいますか？,酸化,還元,熱で溶かす,,2,不正解です。酸化は第2剤による「再結合」の反応です。,正解です。　　還元は、髪の内部のシスチン結合を切断して構造を柔らかくする反応です。,不正解です。髪を溶かすのではなく、化学反応によって構造を柔軟にします。,,,,,,,,,,,,,,,,
211,2127,2100,パーマ剤,パーマの第1剤に含まれ、毛髪を膨潤させて浸透を助けるのは？,アルカリ剤,酸化剤,保存料,,1,正解です。　　アルカリ剤は、キューティクルを開いて毛髪を膨らませ、薬剤の浸透を促します。,不正解です。酸化剤（過酸化水素など）は第2剤の主成分です。,不正解です。保存料は製品の品質を保つためのもので、髪を膨らませる働きはありません。,,,,,,,,,,,,,,,,
212,2127,2100,パーマ剤,パーマの第1剤に使われる還元剤で、分子が小さくかかりが良いのはどれ？,過酸化水素,システイン,チオグリコール酸,,3,不正解。過酸化水素は第2剤（酸化剤）に使われます。,不正解。システインは分子が大きく、反応が穏やかです。,正解です。　　チオグリコール酸は分子が小さいため浸透しやすく、しっかりしたウェーブが作れます。,,,,,,,,,,,,,,,,
213,2127,2100,パーマ剤,パーマの第2剤（2液）の主目的は何ですか？,さらに切断する,再結合（酸化）させる,洗い流す,,2,不正解。　さらに切断すると髪がボロボロになってしまいます。,正解です。　　酸化させることで、第1剤で切断された結合を新しい形で固定します。,不正解。　洗い流すだけでは形が定着しません。正解は「酸化（再結合）」です。,,,,,,,,,,,,,,,,
214,2127,2100,パーマ剤,パーマの第2剤に使用される、代表的な酸化剤はどれですか？,過酸化水素,アンモニア,セタノール,,1,正解です。　　過酸化水素は、最も広く使われる第2剤の主成分です。,不正解。　アンモニアは第1剤のアルカリ剤として使われます。,不正解。　セタノールはクリームのベース（基材）として使われます。,,,,,,,,,,,,,,,,
215,2127,2100,パーマ剤,パーマ剤によって切断・再結合される、髪の最も強い結合は？,ペプチド結合,シスチン結合,水素結合,,2,不正解。　ペプチド結合は髪の柱となる部分で、これが切れると髪が溶けてしまいます。,正解です。　　シスチン結合（S-S結合）を切って繋ぎ直すのが、パーマの基本的な仕組みです。,不正解。　水素結合は水に濡れると切れ、乾くとつながる弱い結合です。,,,,,,,,,,,,,,,,
216,2127,2100,パーマ剤,パーマ剤は、法律（薬機法）上何に分類されますか？,化粧品,医薬部外品,雑貨,,2,不正解。　一部の「カーリング料」は化粧品ですが、一般的なパーマ剤は医薬部外品です。,正解です。　　人体への作用が緩和な「医薬部外品」として管理されています。,不正解。　体に直接作用する薬剤が雑貨として扱われることはありません。,,,,,,,,,,,,,,,,
217,2127,2100,パーマ剤,チオグリコール酸に比べ、反応が穏やかで自然な仕上がりになる還元剤は？,臭素酸ナトリウム,システイン,過炭酸ナトリウム,,2,不正解。　これらは酸化剤（第2剤）の成分です。,正解です。　　システインは毛髪成分と同じアミノ酸から作られ、ダメージを抑えた施術に向いています。,不正解。　これらは酸化剤（第2剤）の成分です。,,,,,,,,,,,,,,,,
218,2127,2100,パーマ剤,加温式のパーマ剤において、推奨される温度は何度以下ですか？,40度,60度,100度,,2,不正解。　40度は体温に近く、加温式の効果としては不十分です。,正解です。　　頭皮の火傷や、髪の過度なダメージを防ぐため「60度以下」と定められています。,不正解。　100度は沸騰したお湯と同じ温度で、髪と地肌に深刻なダメージを与えます。,,,,,,,,,,,,,,,,
219,2127,2100,パーマ剤,第2剤の放置時間が短すぎた場合、どのようなトラブルが起きますか？,髪が焦げる,ウェーブが定着しない,頭皮が染まる,,2,不正解。　髪が焦げるのは、高熱アイロンなどの誤った使用によるものです。,正解です。　　第2剤による酸化（再結合）が不十分になり、ウェーブがすぐに取れてしまいます。,不正解。　頭皮が染まるのはヘアカラー剤などのトラブルです。,,,,,,,,,,,,,,,,
